date=2019-10-28, time=09:34:34.397778923, pointId=1, operationId=1, amount=24981.68
date=2019-02-25, time=01:08:23.776147141, pointId=3, operationId=2, amount=48831.90
date=2019-04-29, time=02:58:53.327407411, pointId=1, operationId=3, amount=17072.75
date=2019-10-14, time=06:42:00.966009177, pointId=3, operationId=4, amount=82044.42
date=2019-12-09, time=02:21:53.272614882, pointId=3, operationId=5, amount=27047.64
date=2019-08-07, time=22:39:21.812009825, pointId=2, operationId=6, amount=45496.79
date=2019-01-13, time=01:41:34.117957290, pointId=1, operationId=7, amount=22699.39
date=2019-08-01, time=03:20:47.877192439, pointId=1, operationId=8, amount=51293.83
date=2019-10-06, time=15:08:31.805605542, pointId=1, operationId=9, amount=89327.49
date=2019-10-10, time=06:52:13.847796700, pointId=2, operationId=10, amount=84107.46
date=2019-01-14, time=00:15:12.634037157, pointId=2, operationId=11, amount=18356.91
date=2019-05-29, time=21:02:17.344733867, pointId=2, operationId=12, amount=55607.29
date=2019-12-14, time=22:02:19.867344624, pointId=1, operationId=13, amount=85056.18
date=2019-01-19, time=04:50:29.192873480, pointId=3, operationId=14, amount=63082.62
date=2019-02-06, time=18:37:49.223458371, pointId=3, operationId=15, amount=10900.75
date=2019-09-22, time=14:02:08.446031098, pointId=3, operationId=16, amount=32510.59
date=2019-07-08, time=11:41:58.061716658, pointId=3, operationId=17, amount=68873.15
date=2019-09-08, time=09:36:03.051948049, pointId=2, operationId=18, amount=16693.01
date=2019-04-28, time=22:16:58.116254296, pointId=3, operationId=19, amount=57877.04
date=2019-02-14, time=20:16:25.844740817, pointId=1, operationId=20, amount=38936.20
date=2019-03-29, time=04:32:02.720678282, pointId=1, operationId=21, amount=61973.85
date=2019-03-05, time=15:12:18.043291876, pointId=1, operationId=22, amount=53587.40
date=2019-05-10, time=07:39:58.125899940, pointId=1, operationId=23, amount=35846.52
date=2019-06-09, time=07:24:21.628145297, pointId=3, operationId=24, amount=55046.83
date=2019-01-17, time=00:48:07.253556423, pointId=1, operationId=25, amount=60872.87
date=2019-02-17, time=05:37:55.233890451, pointId=3, operationId=26, amount=23217.81
date=2019-05-27, time=12:55:02.427023441, pointId=1, operationId=27, amount=33964.46
date=2019-08-14, time=01:32:35.995840366, pointId=3, operationId=28, amount=46496.82
date=2019-10-24, time=12:23:17.529196196, pointId=2, operationId=29, amount=42589.65
date=2019-06-24, time=10:39:34.575568009, pointId=2, operationId=30, amount=88628.42
