date=2019-04-29, amount=17072.75
date=2019-04-28, amount=146261.67
date=2019-10-28, amount=24981.68
date=2019-08-26, amount=90678.09
date=2019-04-25, amount=75928.13
date=2019-06-25, amount=62999.56
date=2019-08-25, amount=61875.58
date=2019-02-25, amount=48831.90
date=2019-06-24, amount=88628.42
date=2019-10-24, amount=42589.65
date=2019-06-23, amount=83170.41
date=2019-04-22, amount=55581.41
date=2019-12-22, amount=63951.74
date=2019-08-20, amount=80564.91
date=2019-04-20, amount=59186.87
date=2019-08-19, amount=28005.91
date=2019-02-18, amount=51688.92
date=2019-10-17, amount=18220.36
date=2019-12-17, amount=142060.16
date=2019-02-17, amount=121727.41
date=2019-02-15, amount=20240.61
date=2019-06-15, amount=12225.88
date=2019-04-14, amount=45649.59
date=2019-08-14, amount=121757.66
date=2019-02-14, amount=38936.20
date=2019-12-14, amount=85056.18
date=2019-10-14, amount=82044.42
date=2019-12-12, amount=78720.57
date=2019-06-11, amount=45209.09
date=2019-10-10, amount=84107.46
date=2019-06-09, amount=55046.83
date=2019-12-09, amount=27047.64
date=2019-02-08, amount=12155.90
date=2019-08-07, amount=45496.79
date=2019-02-06, amount=108513.77
date=2019-10-06, amount=89327.49
date=2019-02-05, amount=53144.52
date=2019-08-04, amount=71727.57
date=2019-10-03, amount=80479.07
date=2019-04-02, amount=41212.05
date=2019-08-01, amount=51293.83
date=2019-09-29, amount=40560.97
date=2019-11-29, amount=39175.37
date=2019-03-29, amount=61973.85
date=2019-05-29, amount=55607.29
date=2019-05-28, amount=58004.32
date=2019-09-27, amount=27152.53
date=2019-05-27, amount=33964.46
date=2019-09-26, amount=91160.60
date=2019-07-25, amount=66896.39
date=2019-05-25, amount=57652.40
date=2019-11-25, amount=86515.31
date=2019-09-24, amount=56361.79
date=2019-03-24, amount=25982.91
date=2019-07-24, amount=44827.98
date=2019-09-22, amount=32510.59
date=2019-03-21, amount=80859.61
date=2019-01-20, amount=92814.84
date=2019-01-19, amount=63082.62
date=2019-09-17, amount=19990.19
date=2019-01-17, amount=60872.87
date=2019-07-16, amount=85876.18
date=2019-07-15, amount=40695.54
date=2019-05-15, amount=36453.56
date=2019-07-14, amount=31014.04
date=2019-01-14, amount=43063.84
date=2019-09-13, amount=55500.51
date=2019-01-13, amount=22699.39
date=2019-07-12, amount=57470.46
date=2019-05-10, amount=35846.52
date=2019-07-09, amount=17583.59
date=2019-09-08, amount=16693.01
date=2019-07-08, amount=68873.15
date=2019-05-07, amount=33600.73
date=2019-09-06, amount=10453.75
date=2019-07-05, amount=94412.23
date=2019-05-05, amount=30358.37
date=2019-03-05, amount=53587.40
date=2019-01-04, amount=85889.91
date=2019-11-04, amount=71529.16
date=2019-03-01, amount=96166.23
date=2019-05-01, amount=45622.62
